id,kanji,JLPT_level,jouyou_index,kyouiku_grade,in_prefectures,strokes,stroke_order_url,rad_num,rad_glyph,onyomi,kunyomi,romaji_on,romaji_kun,meaning,rank,easiness,interval,repetition,next_review
6adafafc-73f8-4951-b08c-fd7b8de55041,一,N5,41,Grade 1,0,1,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e00.svg,1,⼀,"イチ, イツ","ひと-, ひと.つ","ichi, itsu","hito-, hito.tsu","one, one radical (no.1), un",41,2.5,0,0,2026-05-02
07678e73-7dd4-4192-9e29-dccd2fd42017,丁,N1,1392,Grade 3,0,2,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e01.svg,1,⼀,"チョウ, テイ, チン, トウ, チ",ひのと,"chou, tei, chin, tou, chi",hinoto,"street, ward, town",766,2.5,0,0,2026-05-02
5c9519d0-c7b1-483d-b639-c56486b1681d,七,N5,829,Grade 1,0,2,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e03.svg,1,⼀,シチ,"なな, なな.つ, なの",shichi,"nana, nana.tsu, nano","seven, sept, siete",759,2.5,0,0,2026-05-02
1f2633bb-a010-4a16-a46f-f2456a80df29,万,N5,1906,Grade 2,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e07.svg,1,⼀,"マン, バン",よろず,"man, ban",yorozu,"ten thousand, 10,000, myriade",124,2.5,0,0,2026-05-02
96af1d17-4561-4d2c-b54f-6a28ca7f52e8,丈,N1,1010,High School,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e08.svg,1,⼀,ジョウ,"たけ, だけ",jou,"take, dake","length, ten shaku, measure",798,2.5,0,0,2026-05-02
48ac836c-2550-4666-b67c-6796eb8c398a,三,N5,744,Grade 1,1,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e09.svg,1,⼀,"サン, ゾウ","み, み.つ, みっ.つ","san, zou","mi, mi.tsu, mitsu.tsu","three, trois, tres",232,2.5,0,0,2026-05-02
3a468dc3-2365-4613-8c1b-c123daa3b356,上,N5,1009,Grade 1,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e0a.svg,1,⼀,"ジョウ, ショウ, シャン","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","jou, shou, shan","ue, -ue, uwa-, kami, a.geru, -a.geru, a.garu, -a.garu, a.gari, -a.gari, nobo.ru, nobo.ri, nobo.seru, nobo.su, tatematsu.ru","above, up, au-dessus",21,2.5,0,0,2026-05-02
725feb0a-26e1-4c6a-bbd2-31020eb13d23,下,N5,131,Grade 1,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e0b.svg,1,⼀,"カ, ゲ","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","ka, ge","shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru","below, down, descend",90,2.5,0,0,2026-05-02
28a9bc6f-593e-471f-bc05-81ea5c8d3c57,不,N4,1736,Grade 4,0,4,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e0d.svg,1,⼀,"フ, ブ",,"fu, bu",,"negative, non-, bad",116,2.5,0,0,2026-05-02
df0df266-636f-4402-8d27-184a52004c21,与,N3,1986,High School,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e0e.svg,1,⼀,ヨ,"あた.える, あずか.る, くみ.する, ともに",yo,"ata.eru, azuka.ru, kumi.suru, tomoni","bestow, participate in, give",363,2.5,0,0,2026-05-02
99f5c60f-4f3f-4739-926f-2f6b425a37d2,丑,N1,0,Tertiary Education,0,4,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e11.svg,1,⼀,チュウ,うし,chuu,ushi,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac",828,2.5,0,0,2026-05-02
15dfc32d-37b7-425f-bd1f-6e697d5b28a2,且,N1,242,High School,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e14.svg,1,⼀,"ショ, ソ, ショウ",か.つ,"sho, so, shou",ka.tsu,"moreover, also, furthermore",829,2.5,0,0,2026-05-02
5136de09-ff90-48e9-9124-d01934b77e3a,世,N4,1105,Grade 3,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e16.svg,1,⼀,"セイ, セ, ソウ",よ,"sei, se, sou",yo,"generation, world, society",195,2.5,0,0,2026-05-02
a4306dfa-c389-4e5a-83dc-27762f9ad922,丘,N1,363,High School,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e18.svg,1,⼀,キュウ,おか,kyuu,oka,"hill, knoll, colline",791,2.5,0,0,2026-05-02
be605017-fd75-423c-bec3-cb97353efe38,丙,N1,1788,High School,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e19.svg,1,⼀,ヘイ,ひのえ,hei,hinoe,"third class, 3rd, 3rd calendar sign",830,2.5,0,0,2026-05-02
c724c0a4-673d-43b7-8362-621084c25a1b,丞,N1,0,Tertiary Education,0,6,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e1e.svg,1,⼀,"ジョウ, ショウ","すく.う, たす.ける","jou, shou","suku.u, tasu.keru","help, secours, ayudar",830,2.5,0,0,2026-05-02
2cb0b110-9ded-403b-991c-8de8d17fc3eb,両,N3,2061,Grade 3,0,6,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e21.svg,1,⼀,リョウ,"てる, ふたつ",ryou,"teru, futatsu","both, old Japanese coin, counter for carriages (e.g., in a train)",235,2.5,0,0,2026-05-02
cb50b31e-3827-4d9f-b9c3-b1928506182d,並,N2,1792,Grade 6,0,8,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e26.svg,1,⼀,"ヘイ, ホウ","な.み, なみ, なら.べる, なら.ぶ, なら.びに","hei, hou","na.mi, nami, nara.beru, nara.bu, nara.bini","row, and, besides",608,2.5,0,0,2026-05-02
db47ff31-7739-4229-8986-33cb85d1c65c,中,N5,1376,Grade 1,0,4,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e2d.svg,2,⼁,チュウ,"なか, うち, あた.る",chuu,"naka, uchi, ata.ru","in, inside, middle",16,2.5,0,0,2026-05-02
8f0af294-215d-4398-bb01-e57d9ee39e2f,串,N1,456,High School,0,7,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e32.svg,2,⼁,"カン, ケン, セン","くし, つらぬ.く","kan, ken, sen","kushi, tsuranu.ku","spit, skewer, brochette",814,2.5,0,0,2026-05-02
7f89692b-8785-42b3-82e4-d88e083a14e4,丸,N2,292,Grade 2,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e38.svg,3,⼂,ガン,"まる, まる.める, まる.い",gan,"maru, maru.meru, maru.i","round, full (month), perfection",667,2.5,0,0,2026-05-02
945e6c4b-a421-4e0c-b34f-5b35a719f582,丹,N1,1333,High School,0,4,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e39.svg,3,⼂,タン,に,tan,ni,"rust-colored, red, red lead",750,2.5,0,0,2026-05-02
d0a0d10c-340c-4c6f-b23b-a4bc07d8876f,主,N4,864,Grade 3,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e3b.svg,3,⼂,"シュ, ス, シュウ","ぬし, おも, あるじ","shu, su, shuu","nushi, omo, aruji","lord, chief, master",141,2.5,0,0,2026-05-02
cb05c770-fd94-492c-bef4-75a0617e97a4,丼,N1,1567,High School,0,5,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e3c.svg,3,⼂,"トン, タン, ショウ, セイ",どんぶり,"ton, tan, shou, sei",donburi,"bowl, bowl of food, tazón",787,2.5,0,0,2026-05-02
8a1b7acf-96cf-47c4-9b1f-0dbe05237f2b,乃,N1,0,Tertiary Education,0,2,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e43.svg,4,⼃,"ナイ, ダイ, ノ, アイ","の, すなわ.ち, なんじ","nai, dai, no, ai","no, sunawa.chi, nanji","from, possessive particle, whereupon",816,2.5,0,0,2026-05-02
638e6d52-03c2-4f41-908f-b3073ec2dc5c,久,N2,360,Grade 5,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e45.svg,4,⼃,"キュウ, ク",ひさ.しい,"kyuu, ku",hisa.shii,"long time, old story, longtemps",551,2.5,0,0,2026-05-02
abd13810-dfd0-4acc-bfe9-d19933fdc723,之,N1,0,Tertiary Education,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e4b.svg,4,⼃,シ,"の, これ, ゆく, この",shi,"no, kore, yuku, kono","of, this, de",709,2.5,0,0,2026-05-02
952650dc-c456-4ee9-b60a-4584a60e47b2,乏,N1,1853,High School,0,4,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e4f.svg,4,⼃,ボウ,"とぼ.しい, とも.しい",bou,"tobo.shii, tomo.shii","destitution, scarce, limited",824,2.5,0,0,2026-05-02
0ad7f54f-4b03-4f05-bfeb-cd4e4ba7d7ca,乗,N3,1014,Grade 3,0,9,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e57.svg,4,⼃,"ジョウ, ショウ","の.る, -の.り, の.せる","jou, shou","no.ru, -no.ri, no.seru","ride, power, multiplication",241,2.5,0,0,2026-05-02
205e5eb7-bed8-45a1-ae9b-e3d6ad2c43e8,乙,N1,124,High School,0,1,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e59.svg,5,⼄,"オツ, イツ","おと-, きのと","otsu, itsu","oto-, kinoto","the latter, duplicate, strange",822,2.5,0,0,2026-05-02
255028e4-8b67-4402-9e0c-98583ff32e1f,九,N5,359,Grade 1,0,2,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e5d.svg,5,⼄,"キュウ, ク","ここの, ここの.つ","kyuu, ku","kokono, kokono.tsu","nine, neuf, nueve",404,2.5,0,0,2026-05-02
0f2c4a8b-5b19-404a-a8ef-c68a2513c3bb,乞,N1,650,High School,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e5e.svg,5,⼄,"コツ, キツ, キ, キケ, コチ",こ.う,"kotsu, kitsu, ki, kike, kochi",ko.u,"beg, invite, ask",830,2.5,0,0,2026-05-02
612d5302-9610-4d2a-bb2e-94429eadff19,也,N1,0,Tertiary Education,0,3,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e5f.svg,5,⼄,"ヤ, エ","なり, か, また","ya, e","nari, ka, mata","to be (classical), ser",698,2.5,0,0,2026-05-02
be97065b-28ce-40be-8a0b-62831aa995b4,乱,N2,2029,Grade 6,0,7,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e71.svg,5,⼄,"ラン, ロン","みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","ran, ron","mida.reru, mida.ru, mida.su, mida, osa.meru, wata.ru","riot, war, disorder",619,2.5,0,0,2026-05-02
8e5d4522-22e7-48bd-8041-ef536753c0f0,乳,N2,1585,Grade 6,0,8,https://raw.githubusercontent.com/KanjiVG/kanjivg/master/kanji/04e73.svg,5,⼄,ニュウ,"ちち, ち",nyuu,"chichi, chi","milk, breasts, lait",728,2.5,0,0,2026-05-02
